Poste,Entreprise,Ville,Lien,Source,Date,Type
STAGE - Analyse et reporting de données achats et support à la digitalisation F/H - SAFRAN SA (FRANCE),AEROCONTACT,"Malakoff, Île-de-France, France",https://www.linkedin.com/jobs/view/4421632087,linkedin,02/06/2026,Stage
Commodities Data Analyst Intern,Euronext,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4420299668,linkedin,02/06/2026,Stage
STAGE - Master Data Assistant (F/H),Lacoste,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4420440398,linkedin,02/06/2026,Stage
Stagiaire Data & Automatisation BPI F/H,Lhoist,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4408871041,linkedin,02/06/2026,Stage
Stage - Qualité et Amélioration Continue HMS (H/F),Hermès,"Pantin, Île-de-France, France",https://www.linkedin.com/jobs/view/4419033386,linkedin,02/06/2026,Stage
STAGE – Data & RH - H/F,TotalEnergies,"La Défense, Île-de-France, France",https://www.linkedin.com/jobs/view/4419910041,linkedin,02/06/2026,Stage
CMI Analytics & Strategy Intern,Coty,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4377904821,linkedin,02/06/2026,Stage
Data Analyst (H/F) - Stage,Allianz France,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4422389536,linkedin,02/06/2026,Stage
Data Analytics Intern (Risk & Compliance),Qonto,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4422388787,linkedin,02/06/2026,Stage
stage Software & AI Engineer H/F,Umanly consulting,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4422439771,linkedin,02/06/2026,Stage
Sales Business Analyst 6 months Interns - September 2026,Salesforce,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4408777742,linkedin,02/05/2026,Stage
STAGE– Data Scientist Microbiota modeling – Septembre 2026 - H/F,Danone,"Gif-sur-Yvette, Île-de-France, France",https://www.linkedin.com/jobs/view/4408777185,linkedin,02/05/2026,Stage
Stage Software Engineer - IT (H/F) - Canada,Wink,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4406243630,linkedin,02/05/2026,Stage
Stage Software Engineer - IT (H/F),EIC - Experience Internship Canada,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4406224523,linkedin,02/05/2026,Stage
STAGE - Assistant(e) Business Analyst Eyewear - Boutiques Parfums Beauté EUROPE - Juillet 2026,CHANEL,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4385974921,linkedin,02/05/2026,Stage
Stage - Ingénieur Développeur Full-Front-Back (H/F),BASSETTI Group,"Grenoble, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4393520014,linkedin,02/04/2026,Stage
STAGE - Assistant DataScientist H/F,dentsu,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4393006711,linkedin,02/04/2026,Stage
"Stage Cohérence Des Données (IA, Data Science)",Aubay,"Boulogne-Billancourt, Île-de-France, France",https://www.linkedin.com/jobs/view/4396855998,linkedin,02/04/2026,Stage
Stage - Data Analyst - Paris - H/F,BNP Paribas,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4395319138,linkedin,02/04/2026,Stage
PRODUCT ENGINEER (STAGE),STATION F,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4391232044,linkedin,02/04/2026,Stage
Stagiaire Analyste Stratégie & Performance Commerciale - H/F,Compagnie des Alpes,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4420965672,linkedin,01/06/2026,Stage
Stage - Ingénieur en simulation robotique industrielle,Scalian,"Gémenos, Provence-Alpes-Côte d'Azur, France",https://www.linkedin.com/jobs/view/4336996377,linkedin,01/06/2026,Stage
Offre de Stage (6 mois) : Data Analyst / Data Engineer (Automatisation) – F/H,DECATHLON FITNESS LAB,"Villeneuve-d’Ascq, Hauts-de-France, France",https://www.linkedin.com/jobs/view/4418762912,linkedin,01/06/2026,Stage
Cloud Data & Analytics Innovation Intern,"NTT DATA, Inc.","Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4418760044,linkedin,01/06/2026,Stage
Internship - Business Intelligence & Data Visualization – Cost Control & Risk Management Department F/M,Technip Energies,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4423234964,linkedin,01/06/2026,Stage
STAGE - Analyse de Donnees et Valorisation du Positionnement Scientifique (F/H),Dassault Systèmes,"Vélizy-Villacoublay, Île-de-France, France",https://www.linkedin.com/jobs/view/4421690841,linkedin,01/06/2026,Stage
Data Consultant Intern (m/f/d) - Stage de fin d’études,Simon-Kucher,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4418768567,linkedin,01/06/2026,Stage
Offre de Stage (6 mois) : Data Analyst / Data Engineer (Automatisation) – F/H,DECATHLON FRANCE,"Villeneuve-d’Ascq, Hauts-de-France, France",https://www.linkedin.com/jobs/view/4422833452,linkedin,01/06/2026,Stage
Stage Data Analyst Marketing (H/F) - Canada,Wink,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4406255406,linkedin,01/05/2026,Stage
Consumer Operations Data Analyst Intern,Blockchain.com,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4409064795,linkedin,01/05/2026,Stage
Full Software Engineer (x/f/m) - International Expansion,Alan,"Grenoble, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4375041022,linkedin,01/05/2026,Stage
Stagiaire Gestion de Produit IT,Akuo,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4406706126,linkedin,01/05/2026,Stage
Stage - Assistant.e Chef de Projet M.O.A Business Intelligence & Visualisation Data (H/F/X),CHANEL,"Neuilly-sur-Seine, Île-de-France, France",https://www.linkedin.com/jobs/view/4407643120,linkedin,01/05/2026,Stage
Assistant IA & Innovation Marketplace en stage F/H,Auchan Retail,"Villeneuve-d’Ascq, Hauts-de-France, France",https://www.linkedin.com/jobs/view/4406710915,linkedin,01/05/2026,Stage
STAGE - Data Analyst F/H - SAFRAN ELECTRONICS & DEFENSE S.A.S FRANCE,AEROCONTACT,"Malakoff, Île-de-France, France",https://www.linkedin.com/jobs/view/4409164055,linkedin,01/05/2026,Stage
Full Software Engineer (x/f/m) - International Expansion,Alan,"Aix-les-Bains, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4375024928,linkedin,01/05/2026,Stage
Stage - Data Scientist (H/F),Equancy | Groupe EDG,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4393509490,linkedin,01/04/2026,Stage
Data Scientist (H/F) - Stage,Allianz France,"Courbevoie, Île-de-France, France",https://www.linkedin.com/jobs/view/4393905654,linkedin,01/04/2026,Stage
Ingénieur Digital - Stage PFE H/F,Assystem,"Saint-Paul-Trois-Châteaux, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4391871460,linkedin,01/04/2026,Stage
Ingénieur Digital - Stage PFE H/F,Assystem,"Flamanville, Normandy, France",https://www.linkedin.com/jobs/view/4391855677,linkedin,01/04/2026,Stage
STAGIAIRE,ORKYN',"Bagneux, Île-de-France, France",https://www.linkedin.com/jobs/view/4392900857,linkedin,01/04/2026,Stage
Stage - 6 mois - Développeur Outil de Filtrage - Alertes de Production F/H,Natixis Corporate & Investment Banking,"Charenton-le-Pont, Île-de-France, France",https://www.linkedin.com/jobs/view/4392687061,linkedin,01/04/2026,Stage
Data Analyst - Stage (F/H),SFR,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4396653302,linkedin,01/04/2026,Stage
Stagiaire Data Analyst F/H,EDF,"Courbevoie, Île-de-France, France",https://www.linkedin.com/jobs/view/4394670420,linkedin,01/04/2026,Stage
Data Analyst - STAGE 6 mois,AXA Partners,"Malakoff, Île-de-France, France",https://www.linkedin.com/jobs/view/4394668140,linkedin,01/04/2026,Stage
Stage PFE – Intégration de l’IA sur un cas d’usage au profit des métiers de la maintenance - F/H,Réseau de Transport d'Électricité,"La Chapelle-sur-Erdre, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4392862426,linkedin,01/04/2026,Stage
"Stage Ingénieur R&D, Mise au point d'un système de pilotage des projets de R&D du CRC F/H",EDF,"Ugine, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4394321627,linkedin,01/04/2026,Stage
Stagiaire IA & Automatisation - 6 mois,Homerez,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4394680103,linkedin,01/04/2026,Stage
STAGE DATA SCIENTIST 03 MOIS H/F,CNP Assurances,"Issy-les-Moulineaux, Île-de-France, France",https://www.linkedin.com/jobs/view/4394645739,linkedin,01/04/2026,Stage
Stage - Data Scientist AI/GenAI H/F - 6mois,BNP Paribas,"Montreuil, Île-de-France, France",https://www.linkedin.com/jobs/view/4394312082,linkedin,01/04/2026,Stage
Stage Tableau de bord Power BI,Groupe BPCE,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4392685164,linkedin,01/04/2026,Stage
Software Engineer - Stage de fin d'études,Galadrim,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4392894526,linkedin,01/04/2026,Stage
Data Engineer internship,Algoan,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4395044492,linkedin,01/04/2026,Stage
Alternance - Data Engineer F/H,Groupe Roullier,"St-Malo, Brittany, France",https://www.linkedin.com/jobs/view/4380907191,linkedin,31/05/2026,Alternance
Apprenti Ingénieur Data (h/f),Baccarat,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4419927275,linkedin,31/05/2026,Alternance
Alternance - Data Analyst F/H,Abeille Assurances,"Bois-Colombes, Île-de-France, France",https://www.linkedin.com/jobs/view/4411673061,linkedin,31/05/2026,Alternance
Junior pricing analyst - Apprentice,Valeo,"St.-Denis, Île-de-France, France",https://www.linkedin.com/jobs/view/4346652200,linkedin,31/05/2026,Alternance
Alternance – Assistant(e) Chargé(e) de Data CRM (F/H/NB),Disneyland Paris,"Serris, Île-de-France, France",https://www.linkedin.com/jobs/view/4420698020,linkedin,31/05/2026,Alternance
ALTERNANCE - DATA PLATFORM ENGINEER (H/F),Emotors,"Carrières-sous-Poissy, Île-de-France, France",https://www.linkedin.com/jobs/view/4422054140,linkedin,31/05/2026,Alternance
Apprenti Analyste Business Intelligence F/H - MBDA,AEROCONTACT,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4392968490,linkedin,31/03/2026,Alternance
Alternance – ERP Junior Business Analyst (H/F),BIOGROUP,"St.-Ouen, Île-de-France, France",https://www.linkedin.com/jobs/view/4416877998,linkedin,30/05/2026,Alternance
Data Analyst - Customer Relationship - Apprenticeship,Decathlon Digital,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4422041575,linkedin,30/05/2026,Alternance
Alternance Analyste Audit IT & Data - Montpellier - F/H,PwC France,"Montpellier, Occitanie, France",https://www.linkedin.com/jobs/view/4420958395,linkedin,30/05/2026,Alternance
IMA PROTECT - Alternance - Développeur H/F,IMA PROTECT,"Nantes, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4416831056,linkedin,30/05/2026,Alternance
Apprenti.e - Data Engineer continuité numérique F/H - SAFRAN AIRCRAFT ENGINES FRANCE,AEROCONTACT,"Moissy-Cramayel, Île-de-France, France",https://www.linkedin.com/jobs/view/4419474875,linkedin,30/05/2026,Alternance
ALTERNANCE BAC +4/5 BUSINESS ANALYST H/F,Renault Trucks,"Lyon, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4407877766,linkedin,30/04/2026,Alternance
"Alternance: Ingénieur Data:Automatisation,traitement & analyse de données pour développement procédé F/H - SAFRAN",AEROCONTACT,"Le Haillan, Nouvelle-Aquitaine, France",https://www.linkedin.com/jobs/view/4408729590,linkedin,30/04/2026,Alternance
Apprenti-e Data Analyst F/H - SAFRAN AIRCRAFT ENGINES FRANCE,AEROCONTACT,"Corbeil-Essonnes, Île-de-France, France",https://www.linkedin.com/jobs/view/4407802165,linkedin,30/04/2026,Alternance
Apprenti Data Analyst Pricing H/F - Lyon,Rubix France,"Lyon, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4406559115,linkedin,30/04/2026,Alternance
Alternance - Assistant Data Analyst IT (F/H/X),SEPHORA,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4409007169,linkedin,30/04/2026,Alternance
Alternance Assistant Data Analyst - Reims (51) H/F,Groupama Nord-Est,"Reims, Grand Est, France",https://www.linkedin.com/jobs/view/4407098580,linkedin,30/04/2026,Alternance
Alternance -  Data Analyst F/H - L - DIVISION SUPPORT & SERVICES,AEROCONTACT,"Montereau-sur-le-Jard, Île-de-France, France",https://www.linkedin.com/jobs/view/4407892896,linkedin,30/04/2026,Alternance
Apprenti analyste de données H/F,GROUPAMA - G2S,"Montpellier, Occitanie, France",https://www.linkedin.com/jobs/view/4389309858,linkedin,30/03/2026,Alternance
Apprenti Data Analyst F/H - MBDA,AEROCONTACT,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4392388633,linkedin,30/03/2026,Alternance
Apprenti Ingénieur Data Scientist en Détection d'Anomalies F/H,MBDA,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4391853446,linkedin,30/03/2026,Alternance
Apprenti/e pour la refonte du référentiel Qualité assistée par l'IA F/H - Dassault Aviation,AEROCONTACT,"St.-Cloud, Île-de-France, France",https://www.linkedin.com/jobs/view/4418631384,linkedin,29/05/2026,Alternance
Alternance - AI/Data Engineer — Data Factory H/F/X - Mode - Septembre 2026,CHANEL,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4418836929,linkedin,29/05/2026,Alternance
Alternance - Data analyst Ressources Humaines (F/H),Veuve Clicquot,"Reims, Grand Est, France",https://www.linkedin.com/jobs/view/4422033155,linkedin,29/05/2026,Alternance
apprenticeship 12 months – data science,Sanofi,"Gentilly, Île-de-France, France",https://www.linkedin.com/jobs/view/4410554677,linkedin,29/05/2026,Alternance
Alternance - Data Analyst H/F,Abeille Assurances,"Bois-Colombes, Île-de-France, France",https://www.linkedin.com/jobs/view/4419401294,linkedin,29/05/2026,Alternance
Alternance - Business Continuity Analyst H/F,BNP Paribas,"Nanterre, Île-de-France, France",https://www.linkedin.com/jobs/view/4408003902,linkedin,29/04/2026,Alternance
Data Analyst en alternance H/F,Fiducial,"Lyon, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4406401231,linkedin,29/04/2026,Alternance
Alternance - Software Engineer (F/H),Worldline,"Lyon, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4391173212,linkedin,29/03/2026,Alternance
ALTERNANCE - Sales Data Analyst F/H,Thales,"Vélizy-Villacoublay, Île-de-France, France",https://www.linkedin.com/jobs/view/4419836299,linkedin,28/05/2026,Alternance
Alternance Data engineer,Traxens,"Marseille, Provence-Alpes-Côte d'Azur, France",https://www.linkedin.com/jobs/view/4418264969,linkedin,28/05/2026,Alternance
Alternance - Ingénieur logiciel - Aéronautique,Sopra Steria,"Mérignac, Nouvelle-Aquitaine, France",https://www.linkedin.com/jobs/view/4401716320,linkedin,28/05/2026,Alternance
Junior Data Analyst Circularity - Apprenticeship (f/m/d),Decathlon Digital,"Villeneuve-d’Ascq, Hauts-de-France, France",https://www.linkedin.com/jobs/view/4420421902,linkedin,28/05/2026,Alternance
Apprentice BAC+5 Data Scientist & IA H/F,Volvo Group,"Lyon, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4407149038,linkedin,28/04/2026,Alternance
"Data Analyst (Apprentice), Paris",Mirakl,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4405568339,linkedin,28/04/2026,Alternance
Appui au pilotage du département (PMO)  - Alternance F/H,EDF,"Saint-Denis-lès-Rebais, Île-de-France, France",https://www.linkedin.com/jobs/view/4404855806,linkedin,28/04/2026,Alternance
Alternance – DATA Analyste Connaissance Client Junior – Mode - Septembre 2026 – H/F/X,CHANEL,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4383950835,linkedin,28/04/2026,Alternance
Alternance – Data Analyst Qualité – Mode – Septembre 2026 – H/F/X,CHANEL,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4393822033,linkedin,28/04/2026,Alternance
Apprenti Ingénieur Data F/H,MBDA,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4391207680,linkedin,28/03/2026,Alternance
Apprenti Data Engineer F/H - MBDA,AEROCONTACT,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4391788561,linkedin,28/03/2026,Alternance
Assistant Business Intelligence-Alternance (H/F/X) - Studentjob.fr,Jobster,"Rouen, Normandy, France",https://www.linkedin.com/jobs/view/4391282574,linkedin,28/03/2026,Alternance
Assistant Business Intelligence-Alternance (H/F/X) - Studentjob.fr,Jobster,"Oissel, Normandy, France",https://www.linkedin.com/jobs/view/4391275815,linkedin,28/03/2026,Alternance
Donges (44) - Alternance Data Egineer H/F (Apprentissage/Alternance) - Studentjob.fr,Jobster,"Donges, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4391607087,linkedin,28/03/2026,Alternance
ALTERNANCE - ASSISTANT/ASSISTANTE DATA ANALYST (F/H/X),CANAL+ Group,"Issy-les-Moulineaux, Île-de-France, France",https://www.linkedin.com/jobs/view/4391759562,linkedin,28/03/2026,Alternance
Alternance - Software Engineer (F/H),Worldline,"Lyon, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4418682788,linkedin,27/05/2026,Alternance
Alternance études statistiques / Data Analyst,Circana,"Courbevoie, Île-de-France, France",https://www.linkedin.com/jobs/view/4352524358,linkedin,27/05/2026,Alternance
Alternance - Assistant.e BI / Analytics Engineer (F/H) – Septembre 2026,Louis Vuitton,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4407197764,linkedin,27/04/2026,Alternance
Donges (44) - Alternance Data Egineer H/F (Apprentissage/Alternance) - Studentjob.fr,Jobster,"Donges, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4390778512,linkedin,27/03/2026,Alternance
Apprenti Data Analyst F/H,MBDA,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4391932131,linkedin,27/03/2026,Alternance
Alternance – Data Engineer – Services Financiers – Data factory -Nantes,Sopra Steria,"Nantes, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4390968480,linkedin,27/03/2026,Alternance
Apprenti Data Engineer F/H,MBDA,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4390961983,linkedin,27/03/2026,Alternance
Alternance - Data Analyst,Ironhack,"Île-de-France, France",https://www.linkedin.com/jobs/view/4389205479,linkedin,27/03/2026,Alternance
ALTERNANCE - Supply Data Analysis and Management - Septembre 2026 - (H/F),Danone,"Évian-les-Bains, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4420479210,linkedin,26/06/2026,Alternance
Chargé d'études statistiques (F/H) alternance,AXA en France,"Nanterre, Île-de-France, France",https://www.linkedin.com/jobs/view/4433341063,linkedin,26/06/2026,Alternance
Data Scientist en alternance (H/F) @Chargemap,Chargemap,"Strasbourg, Grand Est, France",https://www.linkedin.com/jobs/view/4432856879,linkedin,26/06/2026,Alternance
Alternance - Data Analyst (H/F),L'EQUIPE,"Boulogne-Billancourt, Île-de-France, France",https://www.linkedin.com/jobs/view/4432428156,linkedin,26/06/2026,Alternance
"ALTERNANCE 12 MOIS - À partir de septembre 2026 – Proxy Product Owner (Analytics, AI & Master Data) Human Resources- Master 1/2",L'Oréal,"Clichy, Île-de-France, France",https://www.linkedin.com/jobs/view/4432174302,linkedin,26/06/2026,Alternance
Alternance Data Engineer,ChapsVision,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4433277063,linkedin,26/06/2026,Alternance
Alternance - Analyste de données prix (F/H),Vetoquinol Global,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4432600754,linkedin,26/06/2026,Alternance
Apprentissage – Développeur Junior Data Integration Microsoft LogicApp/ADF (H/F),Vusion,"Nanterre, Île-de-France, France",https://www.linkedin.com/jobs/view/4417884450,linkedin,26/05/2026,Alternance
Apprenticeship - HR Data Analyst - F/M,Technip Energies,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4416305443,linkedin,26/05/2026,Alternance
Apprenti Gestionnaire de données (Data analyst) H/F,CNOUS (centre national des oeuvres universitaires et scolaires),"Lille, Hauts-de-France, France",https://www.linkedin.com/jobs/view/4416592048,linkedin,26/05/2026,Alternance
"APPRENTISSAGE - Ingénieur développement Web, Data Analysis et IA (F/H)",Dassault Systèmes,"Vélizy-Villacoublay, Île-de-France, France",https://www.linkedin.com/jobs/view/4396593153,linkedin,26/04/2026,Alternance
Business Analyst alternance H/F,La Vie Mutualiste Groupama,"Nanterre, Île-de-France, France",https://www.linkedin.com/jobs/view/4404184205,linkedin,26/04/2026,Alternance
Alternance Data Analyst Workday (f/m/d),Decathlon Digital,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4390241012,linkedin,26/03/2026,Alternance
Assistant Business Intelligence-Alternance (H/F/X) - Studentjob.fr,Jobster,"Oissel, Normandy, France",https://www.linkedin.com/jobs/view/4390261980,linkedin,26/03/2026,Alternance
Alternant data analyst-Alternance(F/H),FRANCE DEFI,"Villers-lès-Nancy, Grand Est, France",https://www.linkedin.com/jobs/view/4389273182,linkedin,26/03/2026,Alternance
Alternance - Data analyst F/H,EDF,"Puteaux, Île-de-France, France",https://www.linkedin.com/jobs/view/4391139229,linkedin,26/03/2026,Alternance
Data Engineer - Alternance F/H,Lydia,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4431803043,linkedin,25/06/2026,Alternance
Assistant Data Analyst (H/F) - Alternance,Allianz France,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4432407606,linkedin,25/06/2026,Alternance
Alternance – Data Analyst – Département Achats H/F,CEVA SANTE ANIMALE,"Libourne, Nouvelle-Aquitaine, France",https://www.linkedin.com/jobs/view/4431210443,linkedin,25/06/2026,Alternance
Reporting RH - Alternance,BIOGROUP,"St.-Ouen, Île-de-France, France",https://www.linkedin.com/jobs/view/4431224303,linkedin,25/06/2026,Alternance
Data Analyst MDD (F/H) - en alternance,Carrefour,"Massy, Île-de-France, France",https://www.linkedin.com/jobs/view/4430213520,linkedin,25/06/2026,Alternance
Data Analyst F/H – Alternance,GMF Assurances,"Levallois-Perret, Île-de-France, France",https://www.linkedin.com/jobs/view/4433359023,linkedin,25/06/2026,Alternance
Data Engineer - Alternance F/H,Lydia,,https://www.linkedin.com/jobs/view/4432808792,linkedin,25/06/2026,Alternance
Ingénieur data – projet IA en alternance F/H/X,Socomec Group,"Benfeld, Grand Est, France",https://www.linkedin.com/jobs/view/4413867580,linkedin,25/06/2026,Alternance
Alternance Data Engineering & Cloud AWS (H/F),LineUP7,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4430386775,linkedin,25/06/2026,Alternance
ALTERNANCE - Ingénieure / Ingénieur en analyse et traitement de données avec intégration d’IA par pipeline et gestion de programme sur Ariane 6,ArianeGroup,"Les Mureaux, Île-de-France, France",https://www.linkedin.com/jobs/view/4432639860,linkedin,25/06/2026,Alternance
"Titre
            
                
                    CHARGE.E DE MISSIONS IA - F/H - ALTERNANCE",Citeo,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4432285091,linkedin,25/06/2026,Alternance
Alternance: Data/Mechanical Engineer (h/f),Signify,"Miribel, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4432298366,linkedin,25/06/2026,Alternance
Alternance Business Analyst - Reporting Réglementaire Bancaire - Services Financiers - Ile de France,Sopra Steria,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4410986435,linkedin,25/05/2026,Alternance
Business Analyst alternance H/F,GROUPAMA GAN VIE,"Mérignac, Nouvelle-Aquitaine, France",https://www.linkedin.com/jobs/view/4387390163,linkedin,25/05/2026,Alternance
Alternance - Ingénieur.e logiciel Python (F/H),Groupe SII,"Vélizy-Villacoublay, Île-de-France, France",https://www.linkedin.com/jobs/view/4417498245,linkedin,25/05/2026,Alternance
Alternance - Business Analyst (H/F/X),Amplifon,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4416092864,linkedin,25/05/2026,Alternance
Alternance - Data Scientist and Business Intelligence,AXA XL,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4410067161,linkedin,25/05/2026,Alternance
Alternance - Data Engineer Cloud / IA F/H,Matmut,"Rouen, Normandy, France",https://www.linkedin.com/jobs/view/4403761070,linkedin,25/04/2026,Alternance
Apprentissage : Data Engineer F/H,MBDA,"Le Plessis-Robinson, Île-de-France, France",https://www.linkedin.com/jobs/view/4403793335,linkedin,25/04/2026,Alternance
Alternance - Développement micro-services au sein de l'IT (f/m/d),HSBC,"Courbevoie, Île-de-France, France",https://www.linkedin.com/jobs/view/4405471593,linkedin,25/04/2026,Alternance
Alternance - IT Business Analyst Junior - (F/H),Air Liquide,"Courbevoie, Île-de-France, France",https://www.linkedin.com/jobs/view/4389906318,linkedin,25/03/2026,Alternance
ALT 2026 - Apprenti(e) en Développement d'algorithme IA embarqué (H/F),Airbus Helicopters,"Marseille, Provence-Alpes-Côte d'Azur, France",https://www.linkedin.com/jobs/view/4386174212,linkedin,25/03/2026,Alternance
Data Analyst / Data Scientist - Supply Chain H/F/X – Alternance,LES OEUFS GESLIN,"Canton of Saint-Cyprien, Nouvelle-Aquitaine, France",https://www.linkedin.com/jobs/view/4388032606,linkedin,25/03/2026,Alternance
Alternance - Data Analyst (H/F),Cash Services - 2SF,"St.-Denis, Île-de-France, France",https://www.linkedin.com/jobs/view/4390003521,linkedin,25/03/2026,Alternance
Junior Software Engineer - Alternance (F/H/X),iAdvize,"Nantes, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4390130287,linkedin,25/03/2026,Alternance
Apprenti Développeur H/F,CY Cergy Paris Université,"Cergy, Île-de-France, France",https://www.linkedin.com/jobs/view/4428966584,linkedin,24/06/2026,Alternance
"Campus - Alternance - Data Analyst Credit Risk - Anglais Courant - (1an, France)",American Express,"Rueil-Malmaison, Île-de-France, France",https://www.linkedin.com/jobs/view/4431439885,linkedin,24/06/2026,Alternance
Apprenti-e data engineer F/H F/H - SAFRAN AIRCRAFT ENGINES FRANCE,AEROCONTACT,"Montereau-sur-le-Jard, Île-de-France, France",https://www.linkedin.com/jobs/view/4432821865,linkedin,24/06/2026,Alternance
Alternance - Data Analyst H/F,Brink’s Inc,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4401945713,linkedin,24/04/2026,Alternance
Alternance - Business Analyst (H/F/X),Amplifon,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4404570579,linkedin,24/04/2026,Alternance
Alternance- Business Analyst - Aéroline - Aix-en-Provence,Sopra Steria,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",https://www.linkedin.com/jobs/view/4404053350,linkedin,24/04/2026,Alternance
ALTERNANCE - AI Acceleration & Applied Innovation,Moët Hennessy,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4405358307,linkedin,24/04/2026,Alternance
[Alternance] Data Scientist Marketplace - H/F,ADEO,"Ronchin, Hauts-de-France, France",https://www.linkedin.com/jobs/view/4405036654,linkedin,24/04/2026,Alternance
ALTERNANCE - DATA ENGINEER JUNIOR,Moët Hennessy,"Épernay, Grand Est, France",https://www.linkedin.com/jobs/view/4405348363,linkedin,24/04/2026,Alternance
ALTERNANCE - DATA ENGINEER - (F/H/X),CANAL+ Group,"Puteaux, Île-de-France, France",https://www.linkedin.com/jobs/view/4389265706,linkedin,24/03/2026,Alternance
